Domain	Status	Genome ID	Genome Name	
Bacteria	Permanent Draft	2541047790	Escherichia coli HVH 154 (4-5636698)	
Bacteria	Permanent Draft	2541047800	Escherichia coli HVH 172 (4-3248542)	
Bacteria	Permanent Draft	2541047807	Escherichia coli HVH 162 (4-5627982)	
Bacteria	Permanent Draft	2541047812	Escherichia coli HVH 198 (4-3206106)	
Bacteria	Permanent Draft	2541047813	Escherichia coli HVH 197 (4-4466217)	
Bacteria	Permanent Draft	2541047830	Escherichia coli HVH 202 (4-3163997)	
Bacteria	Permanent Draft	2541047833	Escherichia coli HVH 205 (4-3094677)	
Bacteria	Permanent Draft	2541047851	Escherichia coli KOEGE 30 (63a)	
Bacteria	Permanent Draft	2541047852	Escherichia coli KOEGE 32 (66a)	
Bacteria	Permanent Draft	2541047860	Escherichia coli HVH 221 (4-3136817)	
Bacteria	Permanent Draft	2541047861	Escherichia coli HVH 222 (4-2977443)	
Bacteria	Permanent Draft	2541047865	Escherichia coli UMEA 3052-1	
Bacteria	Permanent Draft	2541047880	Escherichia coli UMEA 3155-1	
Bacteria	Permanent Draft	2541047885	Escherichia coli UMEA 3139-1	
Bacteria	Permanent Draft	2541047891	Escherichia coli UMEA 3108-1	
Bacteria	Permanent Draft	2541047898	Escherichia coli UMEA 3199-1	
Bacteria	Permanent Draft	2541047912	Escherichia coli UMEA 3160-1	
Bacteria	Permanent Draft	2541047924	Escherichia coli UMEA 3230-1	
Bacteria	Permanent Draft	2541047942	Escherichia coli UMEA 3314-1	
Bacteria	Permanent Draft	2541047945	Escherichia coli UMEA 3592-1	
Bacteria	Permanent Draft	2541047947	Escherichia coli UMEA 3617-1	
Bacteria	Permanent Draft	2541047969	Escherichia coli UMEA 3834-1	
Bacteria	Permanent Draft	2541047976	Klebsiella pneumoniae UHKPC61	
Bacteria	Permanent Draft	2541047987	Klebsiella pneumoniae UHKPC67	
Bacteria	Permanent Draft	2545824524	Listeria monocytogenes FSL J1-208	
Bacteria	Permanent Draft	2545824543	Hyphomicrobium sp. 99	
Bacteria	Permanent Draft	2545824685	Klebsiella pneumoniae 160_1080	
Bacteria	Permanent Draft	2545824716	Escherichia coli P0301867.13	
Bacteria	Permanent Draft	2545824719	Escherichia coli p0305293.14	
Bacteria	Permanent Draft	2545824752	Staphylococcus aureus aureus CBD-635	
Bacteria	Permanent Draft	2545824775	Klebsiella pneumoniae pneumoniae B5055	
Bacteria	Permanent Draft	2545824782	Klebsiella pneumoniae pneumoniae MP14	
Bacteria	Permanent Draft	2546825546	Methylobacterium sp. 10	
Bacteria	Permanent Draft	2547132040	Klebsiella oxytoca 10-5248	
Bacteria	Permanent Draft	2547132082	Verminephrobacter aporrectodeae tuberculatae At4	
Bacteria	Permanent Draft	2547132095	Listeria monocytogenes sv. 4b Scott A	
Bacteria	Permanent Draft	2547132253	Escherichia coli O45:H2 95.0941	
Bacteria	Finished	2547132277	Escherichia coli TW10598	
Bacteria	Permanent Draft	2547132415	Escherichia coli 174750	
Bacteria	Permanent Draft	2548876782	Klebsiella oxytoca 11492-1	
Bacteria	Permanent Draft	2548876857	Escherichia coli C418_89	
Bacteria	Permanent Draft	2548876935	Escherichia coli C283_09	
Bacteria	Permanent Draft	2548876941	Escherichia coli C341_10	
Bacteria	Permanent Draft	2548877058	Staphylococcus aureus aureus NN50	
Bacteria	Permanent Draft	2548877068	Mammaliicoccus lentus F1142	
Bacteria	Permanent Draft	2551306092	Sinorhizobium meliloti AK75	
Bacteria	Permanent Draft	2551306193	Brucella abortus BCB027	
Bacteria	Permanent Draft	2551306196	Staphylococcus aureus aureus 120	
Bacteria	Permanent Draft	2551306329	Klebsiella pneumoniae pneumoniae KpQ3	
Bacteria	Permanent Draft	2551306399	Staphylococcus aureus PPUKM-332-2009	
Bacteria	Permanent Draft	2551306454	Klebsiella pneumoniae pneumoniae Ecl8	
Bacteria	Permanent Draft	2551306492	Staphylococcus xylosus NJ	
Bacteria	Permanent Draft	2551306500	Staphylococcus aureus aureus 3989	
Bacteria	Permanent Draft	2551306530	Klebsiella pneumoniae pneumoniae ST258-490	
Bacteria	Permanent Draft	2554235037	Clostridium botulinum CB11/1-1	
Bacteria	Permanent Draft	2554235038	Clostridium tyrobutyricum DSM 2637	
Bacteria	Permanent Draft	2554235043	Cupriavidus sp. WS	
Bacteria	Permanent Draft	2554235109	Clostridium butyricum DSM 10702	
Bacteria	Finished	2554235441	Ralstonia pickettii DTP0602	
Bacteria	Permanent Draft	2556921009	Enterovibrio calviensis DSM 14347	
Bacteria	Permanent Draft	2556921084	Candidatus Accumulibacter sp. BA-91	
Bacteria	Permanent Draft	2556921086	Synthetic wastewater microbial communities from Lab-scale EBPR	
Bacteria	Permanent Draft	2558309003	Alkaliphilus transvaalensis ATCC 700919	
Bacteria	Finished	2558860266	Staphylococcus aureus USA300-ISMMS1 (unscreened)	
Bacteria	Finished	2558860271	Listeria monocytogenes WSLC1042	
Bacteria	Finished	2558860272	Listeria monocytogenes WSLC1001	
Bacteria	Permanent Draft	2558860279	Faecalitalea cylindroides ATCC 27803	
Bacteria	Permanent Draft	2558860350	Candidatus Magnetoglobus multicellularis Araruama	
Bacteria	Permanent Draft	2558860360	Mediterraneibacter lactaris CC59_002D	
Bacteria	Permanent Draft	2558860399	Staphylococcus aureus KPL1845	
Bacteria	Permanent Draft	2558860487	Staphylococcus aureus M0029	
Bacteria	Permanent Draft	2558860495	Staphylococcus aureus M0192	
Bacteria	Permanent Draft	2558860508	Staphylococcus aureus M0391	
Bacteria	Permanent Draft	2558860534	Staphylococcus aureus M0769	
Bacteria	Permanent Draft	2558860556	Staphylococcus aureus M1103	
Bacteria	Permanent Draft	2558860561	Staphylococcus aureus M1167	
Bacteria	Permanent Draft	2558860565	Staphylococcus aureus M1248	
Bacteria	Permanent Draft	2558860576	Staphylococcus aureus M1320	
Bacteria	Permanent Draft	2558860593	Staphylococcus aureus M1578	
Bacteria	Permanent Draft	2558860597	Staphylococcus aureus M0006	
Bacteria	Permanent Draft	2558860605	Staphylococcus aureus M0200	
Bacteria	Permanent Draft	2558860621	Staphylococcus aureus M0510	
Bacteria	Permanent Draft	2558860993	Balneatrix alpica DSM 16621	
Bacteria	Finished	2561511244	Klebsiella pneumoniae rhinoscleromatis SB3432	
Bacteria	Permanent Draft	2562617043	Pseudomonas sp. EGD-AK9	
Bacteria	Permanent Draft	2562617052	Bosea sp. 117	
Bacteria	Permanent Draft	2562617095	Fusobacterium ulcerans 12-1B	
Bacteria	Permanent Draft	2562617107	Brucella suis bv. 1 S2	
Bacteria	Permanent Draft	2562617110	Brucella melitensis bv. 1 M111	
Bacteria	Permanent Draft	2562617151	Escherichia sp. 4_1_40B	
Bacteria	Permanent Draft	2563366764	Klebsiella pneumoniae 1162281	
Bacteria	Permanent Draft	2563366767	Staphylococcus aureus aureus PSP1996	
Bacteria	Permanent Draft	2563366802	Escherichia coli KTE103	
Bacteria	Permanent Draft	2563366805	Escherichia coli KTE100	
Bacteria	Permanent Draft	2563366838	Escherichia coli KTE120	
Bacteria	Permanent Draft	2563366862	Escherichia coli KTE173	
Bacteria	Permanent Draft	2563366898	Escherichia coli KTE206	
Bacteria	Permanent Draft	2563366910	Escherichia coli KTE220	
Bacteria	Permanent Draft	2563366912	Escherichia coli KTE222	
Bacteria	Permanent Draft	2563366923	Escherichia coli KTE233	
Bacteria	Permanent Draft	2563366924	Escherichia coli KTE234	
Bacteria	Permanent Draft	2563366934	Escherichia coli KTE29	
Bacteria	Permanent Draft	2563366939	Escherichia coli KTE33	
Bacteria	Permanent Draft	2563366941	Escherichia coli KTE35	
Bacteria	Permanent Draft	2563366956	Escherichia coli KTE69	
Bacteria	Permanent Draft	2563366971	Escherichia coli KTE47	
Bacteria	Permanent Draft	2563366973	Escherichia coli KTE49	
Bacteria	Permanent Draft	2563366995	Escherichia coli KTE8	
Bacteria	Permanent Draft	2563367011	Staphylococcus aureus M0964	
Bacteria	Permanent Draft	2563367017	Staphylococcus aureus M1062	
Bacteria	Permanent Draft	2563367094	Staphylococcus aureus M0288	
Bacteria	Permanent Draft	2563367107	Staphylococcus aureus M0460	
